comment_id, comment
3,Excellent effort.
4,Needs to avoid distracting others in class.
5,Frequent absences are hindering progress.
6,Must regularly complete homework assignments.
7,Needs to increase participation in class.
ing and safe environment for our students is our top priority.
9,Creating a caring and safe environment for our students is our top priority.
10,Creating a caring and safe environment for our students is our top priority.
17,Creating a caring and safe environment for our students is our top priority.
30,New Comment
